iter	Passed	Remaining
0	152	152150
1	153	76452
2	153	51150
3	154	38475
4	155	30852
5	155	25774
6	156	22142
7	156	19413
8	157	17289
9	157	15587
10	157	14194
11	158	13046
12	159	12078
13	159	11251
14	160	10520
15	160	9878
16	161	9320
17	161	8817
18	162	8367
19	162	7962
20	162	7596
21	163	7262
22	163	6960
23	164	6688
24	165	6438
25	165	6202
26	166	5984
27	166	5782
28	167	5593
29	167	5417
30	168	5253
31	168	5098
32	169	4954
33	169	4816
34	170	4700
35	171	4595
36	172	4482
37	172	4372
38	173	4267
39	173	4170
40	174	4077
41	174	3986
42	175	3901
43	175	3822
44	176	3746
45	177	3675
46	177	3605
47	178	3537
48	178	3470
49	179	3406
50	179	3345
51	180	3286
52	180	3233
53	181	3180
54	182	3128
55	182	3077
56	183	3027
57	183	2979
58	183	2933
59	184	2890
60	184	2847
61	185	2804
62	185	2764
63	186	2724
64	186	2688
65	187	2653
66	188	2618
67	188	2584
68	189	2550
69	189	2517
70	189	2485
71	190	2453
72	190	2423
73	191	2393
74	191	2365
75	192	2337
76	192	2310
77	193	2284
78	193	2259
79	194	2234
80	194	2209
81	195	2185
82	195	2160
83	195	2137
84	196	2114
85	196	2092
86	197	2071
87	197	2051
88	198	2030
89	198	2011
90	200	1998
91	200	1981
92	201	1963
93	201	1945
94	202	1927
95	202	1909
96	203	1892
97	203	1874
98	204	1857
99	204	1841
100	205	1825
101	205	1811
102	206	1796
103	206	1782
104	207	1767
105	207	1752
106	208	1738
107	208	1723
108	209	1709
109	209	1695
110	210	1681
111	210	1668
112	210	1655
113	211	1644
114	212	1632
115	212	1621
116	213	1608
117	213	1597
118	214	1585
119	214	1574
120	215	1563
121	215	1551
122	216	1540
123	216	1530
124	217	1521
125	217	1511
126	218	1501
127	218	1490
128	219	1480
129	219	1470
130	220	1460
131	220	1450
132	220	1440
133	221	1430
134	221	1421
135	222	1411
136	222	1402
137	223	1393
138	223	1386
139	224	1377
140	224	1369
141	225	1359
142	225	1351
143	225	1342
144	226	1334
145	226	1325
146	227	1317
147	227	1310
148	228	1303
149	228	1295
150	229	1288
151	229	1282
152	230	1277
153	231	1270
154	231	1263
155	232	1256
156	232	1249
157	233	1242
158	233	1235
159	233	1228
160	234	1220
161	234	1213
162	235	1206
163	235	1201
164	236	1195
165	236	1189
166	237	1183
167	237	1177
168	238	1171
169	238	1165
170	239	1159
171	239	1152
172	239	1147
173	240	1141
174	240	1135
175	241	1129
176	241	1124
177	242	1119
178	242	1113
179	243	1108
180	243	1102
181	244	1097
182	244	1091
183	245	1086
184	245	1081
185	246	1077
186	246	1072
187	247	1067
188	247	1062
189	248	1058
190	248	1053
191	249	1048
192	249	1043
193	250	1038
194	250	1034
195	251	1029
196	251	1024
197	251	1020
198	252	1015
199	252	1010
200	253	1006
201	253	1001
202	254	998
203	254	994
204	255	990
205	255	986
206	256	982
207	256	977
208	257	973
209	257	969
210	258	964
211	258	960
212	258	956
213	259	952
214	259	948
215	260	945
216	261	941
217	261	938
218	261	934
219	262	930
220	263	927
221	263	923
222	264	919
223	264	916
224	264	912
225	265	908
226	265	905
227	266	902
228	267	899
229	267	896
230	268	892
231	268	889
232	269	886
233	269	883
234	270	879
235	270	876
236	271	872
237	271	869
238	271	865
239	272	863
240	273	860
241	273	857
242	274	853
243	274	850
244	274	847
245	275	844
246	275	840
247	276	837
248	276	834
249	277	831
250	277	828
251	278	825
252	278	822
253	279	819
254	279	816
255	279	813
256	280	810
257	280	807
258	281	804
259	281	802
260	282	799
261	282	796
262	283	793
263	283	791
264	284	788
265	285	786
266	285	784
267	286	781
268	286	778
269	287	776
270	287	773
271	288	770
272	288	768
273	289	765
274	289	763
275	289	760
276	290	758
277	291	756
278	291	754
279	292	752
280	292	749
281	293	746
282	293	744
283	294	741
284	294	739
285	295	736
286	295	734
287	295	731
288	296	729
289	297	727
290	297	725
291	298	722
292	298	720
293	299	718
294	299	715
295	299	713
296	300	711
297	300	708
298	301	706
299	301	704
300	302	701
301	302	700
302	303	698
303	303	695
304	304	693
305	304	691
306	305	689
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	307	675
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	663
319	311	661
320	311	659
321	312	657
322	312	655
323	313	654
324	313	652
325	314	650
326	315	649
327	316	647
328	316	646
329	317	644
330	317	642
331	318	640
332	318	638
333	319	636
334	319	634
335	320	632
336	320	631
337	321	629
338	322	627
339	322	626
340	323	624
341	323	622
342	324	620
343	324	618
344	325	617
345	325	615
346	325	613
347	326	611
348	326	609
349	327	608
350	327	606
351	328	604
352	328	602
353	329	600
354	329	599
355	330	597
356	330	595
357	331	593
358	331	592
359	331	590
360	332	588
361	333	587
362	333	585
363	334	583
364	334	582
365	335	580
366	335	578
367	335	576
368	336	575
369	336	573
370	337	571
371	337	570
372	338	568
373	338	566
374	339	565
375	339	563
376	340	562
377	340	560
378	341	558
379	341	557
380	342	555
381	342	554
382	342	552
383	343	550
384	343	549
385	344	547
386	344	546
387	345	544
388	346	543
389	346	542
390	347	540
391	347	539
392	348	537
393	348	535
394	348	534
395	349	532
396	349	531
397	350	529
398	351	528
399	351	527
400	352	526
401	353	525
402	353	523
403	354	522
404	354	521
405	355	519
406	355	518
407	356	516
408	356	515
409	357	514
410	357	512
411	358	511
412	358	510
413	359	508
414	359	507
415	360	505
416	360	504
417	361	502
418	361	501
419	361	499
420	362	498
421	362	497
422	363	495
423	363	494
424	364	493
425	364	491
426	365	490
427	365	488
428	366	487
429	366	486
430	367	485
431	367	483
432	368	482
433	369	481
434	369	480
435	370	479
436	370	477
437	371	476
438	371	475
439	372	474
440	373	472
441	373	471
442	374	470
443	374	469
444	375	468
445	376	467
446	376	465
447	377	464
448	377	463
449	378	462
450	378	461
451	379	459
452	379	458
453	380	457
454	380	456
455	381	455
456	382	454
457	382	453
458	383	451
459	383	450
460	384	449
461	384	448
462	385	447
463	386	445
464	386	444
465	387	443
466	387	442
467	388	441
468	388	440
469	389	438
470	389	437
471	390	436
472	390	435
473	391	434
474	391	432
475	392	431
476	392	430
477	393	429
478	393	428
479	394	427
480	394	426
481	395	424
482	395	423
483	396	422
484	396	421
485	397	419
486	397	418
487	397	417
488	398	416
489	398	415
490	399	413
491	399	412
492	400	411
493	400	410
494	401	409
495	401	408
496	402	406
497	402	405
498	402	404
499	403	403
500	403	402
501	404	401
502	405	400
503	405	399
504	406	398
505	407	397
506	408	396
507	408	395
508	408	394
509	409	393
510	409	392
511	410	391
512	410	389
513	411	388
514	411	387
515	412	386
516	412	385
517	413	384
518	414	383
519	414	382
520	414	381
521	415	380
522	415	379
523	416	378
524	416	376
525	416	375
526	417	374
527	418	373
528	418	372
529	419	371
530	419	370
531	420	369
532	420	368
533	421	367
534	421	366
535	421	365
536	422	364
537	422	363
538	423	361
539	423	360
540	424	359
541	424	358
542	425	357
543	425	356
544	426	355
545	426	354
546	427	353
547	427	352
548	427	351
549	428	350
550	428	349
551	429	348
552	429	347
553	430	346
554	430	345
555	431	344
556	432	343
557	432	342
558	433	341
559	433	340
560	434	339
561	434	338
562	435	337
563	435	336
564	436	336
565	437	335
566	437	334
567	438	333
568	438	332
569	439	331
570	439	330
571	440	329
572	441	328
573	441	327
574	442	326
575	443	326
576	443	325
577	444	324
578	444	323
579	445	322
580	445	321
581	446	320
582	446	319
583	447	318
584	448	317
585	448	317
586	449	316
587	449	315
588	450	314
589	450	313
590	451	312
591	451	311
592	452	310
593	452	309
594	453	308
595	453	307
596	454	306
597	454	305
598	455	304
599	455	303
600	456	302
601	456	301
602	457	300
603	457	299
604	457	298
605	458	298
606	458	297
607	459	296
608	459	295
609	460	294
610	460	293
611	461	292
612	462	291
613	462	290
614	462	289
615	463	288
616	463	287
617	464	286
618	464	286
619	465	285
620	465	284
621	466	283
622	466	282
623	467	281
624	467	280
625	468	279
626	468	278
627	469	277
628	469	277
629	470	276
630	470	275
631	471	274
632	471	273
633	472	272
634	472	271
635	473	270
636	473	270
637	474	269
638	474	268
639	475	267
640	475	266
641	476	265
642	476	264
643	477	263
644	477	262
645	477	261
646	478	261
647	479	260
648	479	259
649	480	258
650	480	257
651	481	256
652	482	256
653	482	255
654	483	254
655	484	253
656	484	253
657	485	252
658	485	251
659	486	250
660	486	249
661	487	248
662	488	248
663	488	247
664	489	246
665	489	245
666	490	244
667	490	243
668	491	243
669	492	242
670	492	241
671	493	240
672	493	239
673	494	239
674	494	238
675	495	237
676	495	236
677	496	235
678	496	234
679	497	234
680	498	233
681	499	232
682	499	231
683	500	231
684	500	230
685	501	229
686	501	228
687	502	227
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	506	223
694	506	222
695	507	221
696	507	220
697	508	219
698	508	219
699	509	218
700	510	217
701	510	216
702	511	215
703	511	215
704	512	214
705	512	213
706	513	212
707	513	211
708	513	210
709	514	210
710	514	209
711	515	208
712	515	207
713	516	206
714	516	205
715	517	205
716	518	204
717	518	203
718	519	202
719	519	202
720	519	201
721	520	200
722	520	199
723	521	198
724	522	198
725	522	197
726	523	196
727	523	195
728	524	194
729	524	194
730	525	193
731	525	192
732	526	191
733	526	190
734	527	190
735	528	189
736	529	188
737	529	188
738	530	187
739	530	186
740	531	185
741	532	184
742	532	184
743	532	183
744	533	182
745	534	181
746	534	181
747	535	180
748	536	179
749	536	178
750	537	178
751	537	177
752	537	176
753	538	175
754	538	174
755	539	174
756	540	173
757	540	172
758	541	171
759	541	171
760	542	170
761	542	169
762	543	168
763	543	167
764	544	167
765	544	166
766	545	165
767	545	164
768	546	164
769	546	163
770	547	162
771	547	161
772	548	161
773	548	160
774	549	159
775	549	158
776	550	157
777	550	157
778	550	156
779	551	155
780	552	154
781	552	154
782	553	153
783	553	152
784	554	151
785	555	151
786	555	150
787	555	149
788	556	148
789	556	147
790	557	147
791	557	146
792	558	145
793	559	145
794	559	144
795	560	143
796	560	142
797	561	142
798	561	141
799	562	140
800	562	139
801	562	138
802	563	138
803	563	137
804	564	136
805	565	135
806	565	135
807	565	134
808	566	133
809	567	133
810	567	132
811	567	131
812	568	130
813	568	129
814	569	129
815	569	128
816	570	127
817	570	127
818	571	126
819	571	125
820	572	124
821	572	124
822	573	123
823	574	122
824	574	121
825	575	121
826	575	120
827	576	119
828	576	118
829	577	118
830	577	117
831	578	116
832	578	116
833	579	115
834	579	114
835	580	113
836	580	113
837	581	112
838	581	111
839	582	110
840	583	110
841	583	109
842	584	108
843	584	108
844	585	107
845	585	106
846	586	105
847	586	105
848	587	104
849	587	103
850	588	103
851	588	102
852	589	101
853	590	100
854	590	100
855	591	99
856	591	98
857	591	97
858	592	97
859	592	96
860	593	95
861	593	95
862	593	94
863	594	93
864	595	92
865	595	92
866	596	91
867	597	90
868	597	90
869	598	89
870	598	88
871	598	87
872	599	87
873	599	86
874	600	85
875	601	85
876	601	84
877	602	83
878	602	82
879	602	82
880	603	81
881	603	80
882	604	80
883	604	79
884	605	78
885	605	77
886	606	77
887	606	76
888	607	75
889	608	75
890	608	74
891	609	73
892	609	73
893	609	72
894	610	71
895	610	70
896	611	70
897	611	69
898	612	68
899	612	68
900	613	67
901	613	66
902	614	66
903	614	65
904	615	64
905	615	63
906	616	63
907	616	62
908	617	61
909	617	61
910	617	60
911	618	59
912	618	58
913	619	58
914	620	57
915	620	56
916	620	56
917	621	55
918	621	54
919	622	54
920	622	53
921	623	52
922	623	52
923	624	51
924	625	50
925	625	49
926	626	49
927	626	48
928	626	47
929	627	47
930	628	46
931	628	45
932	629	45
933	629	44
934	630	43
935	630	43
936	631	42
937	631	41
938	632	41
939	632	40
940	633	39
941	634	39
942	634	38
943	635	37
944	635	37
945	636	36
946	636	35
947	637	34
948	637	34
949	638	33
950	638	32
951	639	32
952	639	31
953	640	30
954	641	30
955	641	29
956	642	28
957	642	28
958	642	27
959	643	26
960	643	26
961	644	25
962	644	24
963	645	24
964	646	23
965	646	22
966	647	22
967	647	21
968	648	20
969	648	20
970	649	19
971	649	18
972	649	18
973	650	17
974	650	16
975	651	16
976	651	15
977	652	14
978	652	14
979	653	13
980	653	12
981	654	11
982	654	11
983	655	10
984	655	9
985	656	9
986	656	8
987	657	7
988	657	7
989	657	6
990	658	5
991	659	5
992	659	4
993	660	3
994	660	3
995	661	2
996	661	1
997	662	1
998	662	0
999	663	0
